,p,K,SR
0,1,15,-0.03766956973527567
1,1,16,-0.03996434031549511
2,1,17,-0.05391635299495145
3,1,18,-0.06005264626451943
4,1,19,-0.06073940114691073
5,1,20,-0.06073940114691075
6,2,15,-0.011271395271927406
7,2,16,-0.018804099152208736
8,2,17,-0.0024491035074164225
9,2,18,-0.0024491035074164225
10,2,19,-0.0024491035074164225
11,2,20,-0.0024491035074164225
12,3,15,0.0013614641535272254
13,3,16,0.0003372075157441386
14,3,17,0.0003372075157441386
15,3,18,0.0003372075157441386
16,3,19,0.0003372075157441386
17,3,20,0.0013614641535272347
18,4,15,0.004367795363685765
19,4,16,0.004367795363685802
20,4,17,0.004367795363685802
21,4,18,0.004367795363685802
22,4,19,0.004367795363685802
23,4,20,0.004367795363685802
24,5,15,-0.011773072648918692
25,5,16,-0.011773072648918692
26,5,17,-0.011773072648918692
27,5,18,-0.011773072648918692
28,5,19,-0.011773072648918692
29,5,20,-0.011773072648918692
30,6,15,-0.0335409920802793
31,6,16,-0.0335409920802793
32,6,17,-0.0335409920802793
33,6,18,-0.0335409920802793
34,6,19,-0.0335409920802793
35,6,20,-0.0335409920802793
36,7,15,-0.01865457513459473
37,7,16,-0.01865457513459473
38,7,17,-0.01865457513459473
39,7,18,-0.01865457513459473
40,7,19,-0.01865457513459473
41,7,20,-0.01865457513459473
42,8,15,-0.04007149726823699
43,8,16,-0.04007149726823699
44,8,17,-0.04007149726823699
45,8,18,-0.04007149726823699
46,8,19,-0.04007149726823699
47,8,20,-0.04007149726823699
48,9,15,-0.034007301540572445
49,9,16,-0.034007301540572445
50,9,17,-0.034007301540572445
51,9,18,-0.03400730154057244
52,9,19,-0.03400730154057244
53,9,20,-0.03400730154057244
54,10,15,-0.02296473948059302
55,10,16,-0.02296473948059302
56,10,17,-0.02296473948059302
57,10,18,-0.02296473948059302
58,10,19,-0.02296473948059302
59,10,20,-0.02296473948059305
